date,productID,category,productName,quantitySold ,discountPrice,originalPrice,totalSaleValue,currentStockLevel,reorderLevel,expirationDate,restockDate ,batchID,pricingPromotion,priceChangeDate,
2024-12-12,1023,Vegetable,Peas,60,18,22,1320,130,60,2024-12-18,2024-12-15,B1023,0%,2024-12-12,
2024-12-12,1024,Fruit,Apricot,30,45,50,1350,120,60,2024-12-15,2024-12-10,B1024,-5%,2024-12-12,
2024-12-13,1025,Vegetable,Cauliflower,50,40,45,2250,100,40,2024-12-15,2024-12-14,B1025,-15%,2024-12-13,
2024-12-13,1026,Fruit,Pomegranate,55,85,90,4950,200,90,2024-12-17,2024-12-14,B1026,0%,2024-12-13,
2024-12-14,1027,Vegetable,Pumpkin,45,30,35,1575,130,60,2024-12-20,2024-12-16,B1027,-5%,2024-12-14,
2024-12-14,1028,Fruit,Kiwi,65,45,50,3250,150,70,2024-12-17,2024-12-14,B1028,0%,2024-12-14,
2024-12-15,1029,Vegetable,Asparagus,80,50,55,4400,200,100,2024-12-19,2024-12-18,B1029,-10%,2024-12-15,
2024-12-15,1030,Fruit,Papaya,90,45,50,4500,250,100,2024-12-20,2024-12-17,B1030,0%,2024-12-15,
2024-12-16,1031,Vegetable,Radish,70,18,22,1540,180,80,2024-12-20,2024-12-18,B1031,-5%,2024-12-16,
2024-12-16,1032,Fruit,Lychee,60,70,75,4500,200,90,2024-12-20,2024-12-17,B1032,0%,2024-12-16,
2024-12-17,1033,Vegetable,Beets,50,30,35,1750,150,70,2024-12-20,2024-12-19,B1033,0%,2024-12-17,
2024-12-17,1034,Fruit,Peach,65,40,45,2600,180,80,2024-12-19,2024-12-18,B1034,-5%,2024-12-17,
2024-12-18,1035,Vegetable,Garlic,90,15,18,1620,300,150,2024-12-20,2024-12-19,B1035,-10%,2024-12-18,
2024-12-18,1036,Fruit,Plum,70,25,30,1750,200,90,2024-12-19,2024-12-18,B1036,0%,2024-12-18,
2024-12-19,1037,Vegetable,Onion,50,20,25,1250,180,80,2024-12-21,2024-12-20,B1037,-5%,2024-12-19,
2024-12-19,1038,Fruit,Coconut,65,55,60,3900,150,70,2024-12-21,2024-12-20,B1038,0%,2024-12-19,
2024-12-20,1039,Vegetable,Cabbage,40,30,35,1400,120,50,2024-12-22,2024-12-21,B1039,-15%,2024-12-20,
2024-12-20,1040,Fruit,Tangerine,55,50,55,2750,200,80,2024-12-22,2024-12-21,B1040,0%,2024-12-20,
2024-12-21,1041,Vegetable,Squash,45,28,32,1260,130,60,2024-12-22,2024-12-23,B1041,-10%,2024-12-21,
2024-12-21,1042,Fruit,Apricot,80,60,65,5200,250,100,2024-12-22,2024-12-21,B1042,0%,2024-12-21,
2024-12-22,1043,Vegetable,Artichoke,30,35,40,1200,100,50,2024-12-24,2024-12-23,B1043,-5%,2024-12-22,
2024-12-22,1044,Fruit,Guava,45,35,40,1575,120,60,2024-12-23,2024-12-22,B1044,0%,2024-12-22,
2024-12-23,1045,Vegetable,Leeks,60,25,30,1800,180,80,2024-12-24,2024-12-23,B1045,-10%,2024-12-23,
2024-12-23,1046,Fruit,Lychee,40,65,70,2600,150,70,2024-12-24,2024-12-23,B1046,0%,2024-12-23,
2024-12-24,1047,Vegetable,Fennel,35,22,25,770,90,40,2024-12-25,2024-12-24,B1047,-5%,2024-12-24,
2024-12-24,1048,Fruit,Nectarine,55,45,50,2500,200,80,2024-12-25,2024-12-24,B1048,0%,2024-12-24,
2024-12-28,1049,Fruit,Dragonfruit,40,80,85,3200,120,60,2024-12-28,2024-12-27,B1050,0%,2024-12-25,
